,Hindi
882,"
           गोपियों संग घुमे कन्हैया
           
           रास रचैया\xa0राधा\xa0ना\xa0जाए रे
           
           अब संवारा ना भाए
           
            राधा ओन दी डांस फ्लोर
            
            राधा लाइक्स टू पार्टी
            
            राधा लाइक्स तो मूव देट सेक्सी राधा बॉडी
           
           
            राधा ओन दी डांस फ्लोर
            
            राधा लाइक्स टू पार्टी
            
            राधा लाइक्स तो मूव देट सेक्सी राधा बॉडी
           
           
            पनघट पे आके सैयां मोड़ दे बैयाँ
            
            एंड एवरीबॉडी क्रेजी ओन राधा
            
            छेड़े है हमका देयां बैरी कन्हैया
            
            एंड एवरीबॉडी क्रेजी ओन राधा
            
            होगा वोह लाखों दिल का चोर
            
            हमका तो लागे वो
            
            हुआ है ऐसे बावला जो कहता जाए
           
           
            [ओ राधा तेरी चुनरी
            
            ओ राधा तेरा झल्ला
            
            ओ राधा तेरी नटखट नजरिया
            
            ओ राधा तेरा झुमका
            
            ओ राधा तेरा ठुमका
            
            ओ पीछे पीछे सारी नगरिया]x 2
           
           
            [राधा ओन दी डांस फ्लोर
            
            राधा लाइक्स टू पार्टी
            
            राधा लाइक्स तो मूव देट सेक्सी राधा बॉडी]x 2
           
           
            ओ..
            
            माथे पे पंख मोरे
            
            कहते हैं माखन चोर
            
            बजाये बांसुरी
            
            बड़ा आया चित्त चोर
            
            बट राधा वांट्स मोर
            
            ढुंढूँगी चारों और मिलेगा कोई और
            
            दूंगी मैं हाथों में मेरे दिल \xa0डोर
            
            कज़ राधा वांट्स मोर
           
           
            ओ राधा राधा भोली दीवानी है
            
            ओ राधा राधा दो पल जवानी है
            
            ओ राधा को संभालो कोई इसे बता दो
            
            की मिलेगा ना कोई सांवरिया
           
           
            ओ राधा तेरी चुनरी
            
            ओ राधा तेरा झल्ला
            
            ओ राधा तेरी नटखट नजरिया
            
            ओ राधा तेरा झुमका
            
            ओ राधा तेरा ठुमका
            
            ओ पीछे पीछे सारी नगरिया
           
           
            हे राधा राधा काहे इतना गुरूर भला
            
            छोड़ो भी नखरे ये कैसी अदा
            
            तूने क्या सोचा एक तू ही मशहूर यहाँ
            
            लाखों हैं गोपियाँ भी हमपे फ़िदा
            
            हो सारी दुनिया ये नारी है
            
            शुरू हमसे तेरी कहानी है
           
           
            ओ रहने दे रे कान्हा
            
            भूलेगा तू सताना
            
            जो गिरूंगी मैं बन के बिजुरिया
           
           
            ओ राधा तेरी चुनरी
            
            ओ राधा तेरा झल्ला
            
            ओ राधा तेरी नटखट नजरिया
            
            ओ राधा तेरा झुमका
            
            ओ राधा तेरा ठुमका
            
            ओ पीछे पीछे सारी नगरिया
           
           
            [राधा ओन दी डांस फ्लोर
            
            राधा लाइक्स टू पार्टी
            
            राधा लाइक्स तो मूव देट सेक्सी राधा बॉडी]x 2
           
           
            ओ पनघट पे आके सैयां मोड़ दे बैयाँ
            
            एंड एवरीबॉडी क्रेजी ओन राधा
            
            छेड़े है हमका देयां बैरी कन्हैया
            
            एंड एवरीबॉडी क्रेजी ओन राधा
            
            होगा वोह लाखों दिल का चोर
            
            हमका तो लागे वो
            
            हुआ है ऐसे बावला जो कहता जाए
           
           
            [ओ राधा तेरी चुनरी
            
            ओ राधा तेरा झल्ला
            
            ओ राधा तेरी नटखट नजरिया
            
            ओ राधा तेरा झुमका
            
            ओ राधा तेरा ठुमका
            
            ओ पीछे पीछे सारी नगरिया]x 2
           
           
            [राधा ओन दी डांस फ्लोर
            
            राधा लाइक्स टू पार्टी
            
            राधा लाइक्स तो मूव देट सेक्सी राधा बॉडी]x 2
           
           "
883," 
           [खुशखबरी ऐसी मिली है
           
           उछालने लगे हम हवा में
           
           पूरी हुई दिल की तमन्ना
           
           बड़ा ही असर था दुआ में] x 2
          
          "
884," 
           रफ्ता रफ्ता हो गयी तू ही मेरी ज़िन्दगी
           
           रफ्ता रफ्ता हो गयी चारों तरफ रौशनी
           
           सजदे में तेरे सर है थोडा सा दिल में डर है
           
           कैसे करूँ मैं बयान
           
           जानू ना जानू ना जानू ना..
           
           रफ्ता रफ्ता हो गयी
          
          
           [चाहे दीदार तेरा नज़रे झुके भी
           
           मेरे कदम चलना चाहे रुके भी
           
           लभ भी कुछ कहना चाहे
           
           लेकिन गुम है सब बातें
           
           गुमसुम सी भी है जुबां] x 2
          
          
           रफ्ता रफ्ता हो गयी तू ही मेरी ज़िन्दगी
           
           रफ्ता रफ्ता हो गयी चारों तरफ रौशनी
           
           सजदे में तेरे सर है थोडा सा दिल में डर है
           
           कैसे करूँ मैं बयान
           
           जानू ना जानू ना जानू ना..
           
           रफ्ता रफ्ता हो गयी..
          
          
           [मेरा वजूद अब तू मुझमे है शामिल
           
           सोहबत में तेरी मुझे सब कुछ हासिल
           
           फिर क्यूँ लगता है ऐसा
           
           जैसे मैं हूँ बेखुद सा
           
           ढूंढू मैं खुद को कहाँ] x 2
          
          
           रफ्ता रफ्ता हो गयी तू ही मेरी ज़िन्दगी
           
           रफ्ता रफ्ता हो गयी चारों तरफ रौशनी
           
           सजदे में तेरे सर है थोडा सा दिल में डर है
           
           कैसे करूँ मैं बयान
           
           जानू ना जानू ना जानू ना..
           
           रफ्ता रफ्ता हो गयी..
          
          
          
          "
885,"
           जी हाँ भाई बहनों
           
           झुमरी तलैया से
           
           मुन्नी की रिक्वेस्ट आई है
           
           “रफ्ता रफ्ता देखो आँख मेरी लड़ी है”
           
           लड़ी है, लड़ी है, लड़ी है, लड़ी है..
           
            स्वागत नहीं करोगे आप हमारा
            
            इस स्टोरी में इमोशन है
            
            ड्रामा है, ट्रेजेडी है
            
            हम तुम में इतने छेद करेंगे की
            
            कंफ्यूज हो जाओगे..
            
            मैंने ऐसा तो नहीं कहा था
           
           
            अरे रफ्ता रफ्ता दखो आँख मेरी लड़ी
            
            अरे रफ्ता रफ्ता दखो आँख मेरी लड़ी
            
            अरे आँख जिस से लड़ी है
            
            www.hinditracks.in
            
            वो पास मेरे खड़ी है
            
            मुझे जानती है जब से
            
            ये मरती है तब से
            
            मैं भी इसे चोरी छिपे
            
            चाहता हूँ तब से
            
            दिल में ये मेरे बस गयी
            
            अरे ये क्या कह रहे हो
           
           
            अरे रफ्ता रफ्ता दखो आँख मेरी लड़ी
            
            अरे आँख जिस से लड़ी है
            
            वो पास मेरे खड़ी है
            
            अरे रफ्ता रफ्ता देखो..
            
            रफ्ता रफ्ता देखो
           
           
            ओ मेरी महबूबा
            
            अरे रा..
            
            ओ मेरी महबूबा
            
            अरे रा..
            
            महबूबा महबूबा
           
           
            खामोश
            
            तीसरे बादशाह हम हैं
           
           
            सोना सोना बड़ा सोना सोना
            
            बड़ा सोना सोना सोना
            
            ओ मेरे सोना रे, सोना रे, सोना रे
            
            से दूंगी जान जुदा मत होना रे
            
            मैंने तुझे कई देर में जाना
            
            हुआ कुसूर खफ़ा मत होना रे
            
            ओ मेरे सोना रे, सोना रे, सोना..
           
           
            अरे रफ्ता रफ्ता दखो आँख मेरी लड़ी
            
            अरे आँख जिस से लड़ी है
            
            वो पास मेरे खड़ी है
            
            अरे रफ्ता रफ्ता देखो..
            
            रफ्ता रफ्ता देखो
           
           
            इश्क वालों से ना पूछो
            
            की उनकी रात का आलम
            
            तन्हा कैसे गुज़रता है
            
            जुदा हो हमसफ़र जिसका
            
            वो उसको याद करता है
            
            ना हो जिसका कोई
            
            मिलने की फ़रियाद करता है
           
           
            (सलाम-ए-इश्क मेरी जान
            
            ज़रा कुबूल कर लो
            
            तुम हमसे प्यार करने की
            
            ज़रा सी भूल कर लो
            
            मेरा दिल बेचैन है
            
            मेरा दिल बेचैन है
            
            मेरा दिल बेचैन है
            
            हमसफ़र के लिए
            
            मेरा दिल बेचैन है
            
            हमसफ़र के लिए) x 2
           
           
            अरे रफ्ता रफ्ता दखो आँख मेरी लड़ी
            
            अरे आँख जिस से लड़ी है
            
            वो पास मेरे खड़ी है
            
            अरे रफ्ता रफ्ता देखो
           
           
            (मैं जाट यमला पगला दीवाना..
            
            हो हो रब्बा इत्ती सी बात ना जाना
            
            की की की..
            
            की ओ मेनू प्यार करती है
            
            साड्डे उत्ते ओ मरदी है
            
            की ओ मेनू प्यार करती है
            
            साड्डे उत्ते ओ मरदी है) x 2
           
           
            इस स्टोरी में इमोशन है
            
            ड्रामा है, ट्रेजेडी है
            
            झूट
           
           "
886," 
           रघुपति राघव राजा राम
           
           पतित पावन सीताराम
           
           सत्याग्रह..सत्याग्रह..
           
           रघुपति राघव राजा राम
           
           पतित पावन सीताराम
          
          "
887," 
          
          "
888,"
           खोये खोये से रहना
           
           खुद की तलाश में
           
           अपनी ही गुमशुदी में
           
           अनजानी आस में
           
            यादों के सारे खजाने
            
            छुपाऊं मैं कहाँ
            
            नैनो के ये मोती सारे
            
            सजाऊं मैं कहाँ
            
            मन के पिंजरे का पंछी
            
            उड़ा दूं मैं ज़रा
            
            जो दिखा दे रौशनी वाली सुबह
           
           
            रैना रे रैना काली काली रैना
            
            सुबह सलोनी बन जा
            
            हाय रे हाय
            
            रैना रे रैना रे
            
            काली काली रैना
            
            सुबह सलोनी बन जा
           
           
            तू जिधर हो जहां
            
            हो सलामत वहाँ
            
            इस दुआ के सिवा
            
            कुछ भी मांगू ना
           
           
            तू ही दुनिया मेरी
            
            तू ही मेरा जहां
            
            इस दुआ के सिवा
            
            कुछ भी मांगू ना
           
           
            यादों के सारे खजाने
            
            छुपाऊं मैं कहाँ
            
            नैनो के ये मोती सारे
            
            सजाऊं मैं कहाँ
            
            मन के पिंजरे का पंछी
            
            उड़ा दूं मैं ज़रा
            
            जो दिखा दे रौशनी वाली सुबह
           
           
            हाँ.. रैना रे रैना काली काली रैना
            
            सुबह सलोनी बन जा
            
            हाय रे हाय
            
            रैना रे रैना रे
            
            काली काली रैना
            
            सुबह सलोनी बन जा
           
           "
889,"
           राजा को रानी से प्यार हो गया
           
           पहली नज़र में पहला प्यार हो गया
           
           दिल जिगर दोनों घायल हुए
           
           तीरे नज़र दिल के पार हो गया
           
            राजा को रानी से प्यार हो गया
            
            पहली नज़र में पहला प्यार हो गया
            
            दिल जिगर दोनों घायल हुए
            
            तीरे नज़र दिल के पार हो गया
           
           
            राजा को रानी से प्यार हो गया
           
           
            राजा को रानी से प्यार हो गया
           
           
            हो.. राहों से राहें, बाहों से बाहें
            
            मिलके भी मिलती नहीं
           
           
            हो.. होता है अक्सर अरमां की कलियाँ
            
            खिलके भी खिलती नहीं
           
           
            हो.. फिर भी ना जाने क्यूँ नहीं माने
            
            फिर भी ना जाने क्यूँ नहीं माने
           
           
            दीवाना दिल बेक़रार हो गया
            
            राजा को रानी से प्यार हो गया
           
           
            राजा को रानी से प्यार हो गया
           
           
            रानी को देखो, नज़रें मिली तो
            
            आँखें चुराने लगी
           
           
            हो.. करती भी क्या वो, सर को झुकाके
            
            कंगना घुमाने लगी
           
           
            हो.. राजा ने ऐसा जादू चलाया
           
           
            राजा ने ऐसा जादू चलाया
            
            ना करते करते इकरार हो गया
           
           
            राजा को रानी से प्यार हो गया
            
            पहली नज़र में पहला प्यार हो गया
           
           
            दिल जिगर दोनों घायल हुए
            
            तीरे नज़र दिल के पार हो गया
           
           "
890,"
           [आइस्क असिमोव का पोता
           
           बस दिखता हूँ मैं छोटा] x २
           
            येह येह
           
           
            राक्षसी ये पक्षी
            
            जला के मनाएंगे दिवाली
            
            अनाड़ी खिलाड़ी
            
            नरक में तेरी जगह खाली
           
           
            मारो एक अंडे से
            
            निकला बुरा सपना है ये
            
            बस एक उस अंडे को
            
            भुर्जी बना के खायेंगे
           
           
            [रंगी रंगी रंगी रंगी सतरंगी
            
            सर पे चढ़ के कहाँ अतरंगी
            
            जगी जगी जगी जगी जगदंगी
            
            श्री रामा का हूँ मैं बजरंगी] x २
           
           
            पुटी पुटी पुटी पुटी लिलिपुटी
            
            हर बीमारी की मैं छूटी
            
            पुटी पुटी पुटी रंगी लिलिपुटी
            
            www.hinditracks.in
            
            बंद लोहे की हूँ मैं मुठी
           
           
            राक्षसी ये पक्षी
            
            जला के मनाएंगे दिवाली
            
            अनाड़ी खिलाड़ी
            
            नरक में तेरी जगह खाली
           
           
            मारो एक अंडे से
            
            निकला बुरा सपना है ये
            
            बस एक उस अंडे को
            
            भुर्जी बना के खायेंगे
           
           
            हो हो घसीटो चलो
            
            हो हो घसीटो चलो
            
            मारो इस पक्षी को
           
           "
891," 
           [राम चाहे लीला चाहे, लीला चाहे राम
           
           इन दोनों के लव में
           
           दुनिया का क्या काम]x2
          
          
           इनका तो फंडा है सिंपल सा यार
           
           गोली मारो तो पंगा, आँख मारो तो प्यार
          
          
           राम चाहे लीला चाहे, लीला चाहे राम
           
           इन दोनों के लव में
           
           दुनिया का क्या काम
          
          
           [रख पॉकेट में घोड़ा, दे घोड़े के लगाम]x2
           
           राम चाहे लीला चाहे, लीला चाहे राम
           
           राम चाहे लीला चाहे, लीला चाहे राम
           
           इन दोनों के लव में
           
           दुनिया का क्या काम
          
          
           घनन घनन हो मेघ जो बरसे
           
           लीला ना शीरनगर ने तरसे
           
           चुड़लो नथनी पतलो कंदोरा
           
           शोभे रानी रंग जे गोरो
           
           प्रेम पंखिड़ा छे ने राम लीला
           
           वानतोड़े चढ़या ची आ रामलीला
           
           रामलीला
          
          
           [लगे सारे दुश्मन, दिखे सब में चोर चोर]x2
          
          
           तेरी बालकनी में बैठा एक मोर
           
           मोरों कि है मिस्टेक, राम लीला बदनाम
          
          
           रे म्हारा राम ए म्हारा राम
          
          
           राम चाहे लीला चाहे, लीला चाहे राम
           
           इन दोनों के लव में
           
           दुनिया का क्या काम
          
          
           बुलेट भी एक और एक ही है जान जान
           
           बुलेट भी एक और एक ही है जान
           
           हर बुलेट पे लिखा मरने वाले का नाम
          
          
           गोली को गोली दे दे, ये तो करे ऐसा काम
           
           राम लीला, राम लीला
          
          
           राम चाहे लीला चाहे, लीला चाहे राम
           
           इन दोनों के लव में
           
           दुनिया का क्या काम
           
           इनका तो फंडा है सिंपल सा यार
           
           गोली मारो तो पंगा
           
           आँख मारो तो प्यार
           
           राम चाहे लीला चाहे, लीला चाहे राम
           
           इन दोनों के लव में
           
           दुनिया का क्या काम
          
          "
892," 
           जल रही है राह का बनकर दीया
           
           जाने कितनी रातों से तेरी सिया
           
           खोके बैठी खुद में तुमको राम जी
           
           अपनि खातिर तो मैं हूँ बस नाम की
           
           आँखें मेरी रात दिन बरसा करे
           
           एक झलक पाने को बस तरसा करे
          
          
           काली रातों की सुबह भी जाएगी
           
           एक दिन जीवन में खुशियाँ छायेंगी
           
           आस मैंने तुझसे बस ये बांधली
           
           एक मनौती दिल से मैंने मानली
           
           आओगे तुम आओगे तुम एक दिन कभी
           
           सुन लो मेरे इंतेज़ा ओ राम जी
           
           हा…आ…
          
          
           प्यार अपना मैं दिखा सकती नहीं
           
           और दिल में भी दबा सकती नहीं
           
           रात दिन बेचैन धड़कन किस लिए
           
           इश्क़ है तो है ये उलझन किस लिए
           
           कैसे है ये धुंध कुछ दीखता नहीं
           
           राह कुछ दिखलाओ मुझको राम जी
          
          
           
           
           
            
             More TV Serial Songs
            
           
          
          "
893," 
           तातड तातड तातड..
           
           [रामजी की चाल देखो, आँखों की मजाल देखो
           
           करें ये धमाल देखो,
           
           अरे दिल को तुम संभाल देखो]x2
          
          
           अरे चाल देखो ढाल देखो
           
           रगों में उबाल देखो, ओह देखो, ओह देखो
           
           ओह देखो देखो देखो, तातड तातड तातड..
          
          
           [रामजी का प्यार देखो
           
           सीना भी कतार देखो]x2
           
           बातें तेज़ कतार देखो, तेवर की तलवार देखो
           
           अरे आर देखो, पार देखो
           
           आर देखो, पार देखो, देल से जुड़े तार देखो
           
           अरे बैर से ये बैर करे, प्रेम की ये ढाल देखो
           
           ओह देखो, ओह देखो, ओह देखो देखो देखो
           
           तातड तातड तातड..
          
          
           [रामजी की ताव देखो,
           
           नज़र में अलाव देखो]x2
          
          
           खेलें कैसे दाव देखो, भर दे सारे घाव देखो
           
           अरे हाव देखो, भाव देखो
           
           हाव देखो, भाव देखो, धुप में परछॉव देखो
           
           अरे जो भी सुनेगा झूमे, छेड़े ऐसी ताल देखो
          
          
           ओह देखो, ओह देखो, ओह देखो देखो देखो
           
           तातड तातड तातड..
          
          
           
            Also See:
           
           
            Other Songs of Ramleela
           
          
          "
894," 
           
            राम चाहे लीला
           
           
           
            लहू मुंह लग गया
           
           
           
            रामजी की चाल देखो
           
           
           
            अंग लगा दे रे
           
           
           
            धुप – Shreya Ghoshal
           
           
           
            इश्क्यों के धिश्क्यों के
           
           
           
            नगाड़ा संग ढोल बाजे
           
          
          
           Official Trailer of Ram-Leela Movie:
          
          
          
          "
895," 
           [रंग और नूर की बारात किसे पेश करूँ
           
           ये मुरादों की हंसी रात किसे पेश करूँ
           
           किसे पेश करूँ ] x २
          
          
           मैंने जज़बात निभाए हैं उसूलों की जगह
           
           मैंने जज़बात निभाए हैं उसूलों की जगह
           
           अपने अरमान पीरों लाया हूँ फूलों की जगह
           
           तेरे सेहरे की..
           
           तेरे सेहरे की\xa0ये सौगात किसे पेश करूँ
           
           ये मुरादों की हंसी रात किसे पेश करूँ
           
           किसे पेश करूँ
          
          
           ये मेरे शेर मेरे आखरी नजराने हैं
           
           ये मेरे शेर मेरे आखरी नजराने हैं
           
           मैं उन अपनों में हूँ जो आज से बेगाने हैं
           
           बेताल्लुक सी मुलाक़ात किसे पेश करूँ
           
           ये मुरादों की हंसी रात किसे पेश करूँ
           
           किसे पेश करूँ
          
          
           सुर्ख जोड़े की तब-ओ-ताब मुबारक हो तुझे
           
           सुर्ख जोड़े की तब-ओ-ताब मुबारक हो तुझे
           
           तेरी आँखों का नया ख्वाब मुबारक हो तुझे
           
           मैं ये ख्वाइश, ये ख़यालात किसे पेश करूँ
           
           ये मुरादों की हंसी रात किसे पेश करूँ
           
           किसे पेश करूँ
          
          
           कौन कहता है के चाहत पे सभी का हक है
           
           कौन कहता है के चाहत पे सभी का हक है
           
           तू जिसे चाहे तेरा प्यार उसी का हक है
           
           मुझ से कह दे..
           
           मुझ से कह दे, मैं तेरा हाथ किसे पेश करूँ
           
           ये मुरादों की हंसी रात किसे पेश करूँ
           
           किसे पेश करूँ
          
          
           रंग और नूर की बारात किसे पेश करूँ
           
           ये मुरादों की हंसी रात किसे पेश करूँ
           
           किसे पेश करूँ
           
           [किसे पेश करूँ..किसे पेश करूँ.. ] x ३
          
          "
896," 
           होली है.. हो..
           
           रंग बरसे…भीगे चुनरवाली रंग बरसे
           
           होली है…..
           
           अरे कैने मारी पिचकारी तोरी भीगी अंगिया
           
           ओ रंग रसिया, रंग रसिया होहोए…
           
           रंग बरसे… अरे रंग बरसे
           
           भीगे चुनरवाली रंग बरसे
           
           हो रंग बरसे भीगे चुनरवाली रंग बरसे
           
           हो रंग बरसे भीगे चुनरवाली रंग बरसे
           
           हो रंग बरसे भीगे चुनरवाली रंग बरसे
           
           हाँ रंग बरसे भीगे चुनरवाली रंग बरसे
           
           सोने की थारी में जोना परोसा
           
           सोने की थारी में जोना परोसा
           
           अरे सोने की थाली में
           
           हाँ सोने की थारी में जोना परोसा
           
           अरे खाए गोरी का यार
           
           बलम तरसे रंग बरसे
          
          
           होली है…
           
           ओ रंग बरसे भीगे चुनरवाली रंग बरसे
           
           ओ रंग बरसे भीगे चुनरवाली रंग बरसे
          
          
           लौंगा इलाची का
           
           अरे लौंगा इलाची का भाई
           
           हाँ लौंगा इलाची का ! ?
          
          
           हाँ.. अरे लौंगा इलाची का बीड़ा लगाया
           
           लौंगा इलाची का बीड़ा लगाया
           
           अरे लौंगा इलाची का
           
           हाँ लौंगा इलाची का बीड़ा लगाया
          
          
           अरे चाबे गोरी का यार बलम तरसे रंग बरसे
           
           होली है…
           
           ओ रंग बरसे भीगे चुनरवाली रंग बरसे
           
           ओ रंग बरसे भीगे चुनरवाली रंग बरसे
           
           ओ रंग बरसे भीगे चुनरवा
           
           ओ रंग बरसे भीगे चुनरवाली रंग बरसे
          
          
           अरे बेला चमेली का.. सेज बिछाया
           
           अरे बेला चमेली का.. सेज बिछाया
           
           बेला चमेली का.. सेज बिछाया
           
           बेला चमेली का.. सेज बिछाया
           
           अरे बेला चमेली का
           
           हाँ बेला चमेली का.. सेज बिछाया
          
          
           सोए गोरी का
           
           सोए गोरी का यार, बलम तरसे रंग बरसे
           
           होली है…
           
           ओ रंग बरसे भीगे चुनरवाली रंग बरसे
           
           ओ रंग बरसे भीगे चुनरवाली रंग बरसे
           
           ओ रंग, बरसे, भीगे, चुनरवा, लीरंग, बरसे
           
           ओ रंग बरसे भीगे चुनरवाली रंग बरसे
          
          
           ओ रंग बरसे भीगे चुनरवाली रंग बरसे
           
           ओ रंग बरसे भीगे चुनरवाली रंग बरसे
           
           ओ रंग बरसे भीगे चुनरवाली रंग बरसे हो
           
           अरे रंग बरसे भीगे चुनरवाली रंग बरसे हाय
          
          
          
          "
897," 
           रंग रसिया…
           
           रंग रसिया, रंग रसिया, रंग रसिया
           
           रंग रसिया, रंग रसिया, रंग रसिया
           
           रंग रसिया, रंग रसिया, रंग रसिया
           
           रंग रसिया, रंग रसिया, रंग रसिया
          
          
           ये सारे रंग तेरे रंग हैं
           
           गुलाबी साँझ का ढ़लता हूँ आँचल
           
           दोशाला ओढ़े काले मेघ हैं
           
           ये तेरी आँख से छलके हैं इसी पल
          
          
           लाल पीले हरे, चम्पई, सुरमई
           
           इक तू है मगर, तेरे अंग कई
           
           मोहे रंग दे रे, रंग दे रे
           
           रंग दे रे, रंग दे…
          
          
           नीली नीली नदिया डोले
           
           लहराए, बलखाए, बोले
           
           है जोगिया कोई मलंग है
           
           जिसने रंग, रंग डाले रंग
          
          
           रंग रसिया, हो… रंग रसिया
           
           रंग रसिया, रंग रसिया, रंग रसिया,
           
           रंग रसिया,रंग रसिया, रंग रसिया
           
           रंग रसिया हो..
          
          "
898," 
           भीगी भीगी हैं चाहतें
           
           भीनी भीनी है रात
           
           मैं रंग बन के पिघली हूँ तेरे साथ
          
          
           रंगा रे ओ दिल
           
           रंग रे तेरे रंग
           
           रंगा रे तेरी रूह में मैं घुल गयी
          
          
           तेरी गहरी साँसों में खो गए एहसास
           
           मैं रंग रे तेरी रूह में मैं घुल गयी
           
           ओ..
          
          
           तुझे नसीबों से मैं चुरा लूं
           
           तुझे ओनी साँसों में जगह दूं
           
           तेरी रग रग में आज बह के
           
           मैं मेरे फन को झिला दूं
           
           मैं झिला दूं
          
          
           होके तेरी झुल्फों से उतरे रात
           
           रोक लूं ये लम्हा
           
           के तेरे होंठों से छू के आज
           
           छु लूं आग
          
          
           मैं रंगा रे
           
           ओ हाँ मैं रंगा रे
           
           तेरे रंग रंगा रे
           
           तेरे जिस्म में मैं घुल गया
          
          "
